id,service_pattern_id,origin,destination,description,geom,revision_id,line_name
1470,UZ000FLIX:UK030-JP1-612d48a7-dc85-4923-ae3f-8023e7a0f674,Glasgow,London,Glasgow - Manchester - London,"LINESTRING (-4.250336078037303 55.86520896631765, -2.785501311288957 54.010234996738085, -2.6960650275462497 53.76023611345902, -2.2385786109017514 53.48533544306981, -1.9064407902485785 52.48123799741435, -0.1806672297611529 51.54790579798508, -0.1492160039989738 51.49266760420293)",3941,UK030
1471,UZ000FLIX:UK030-JP2-9e5d3289-531d-455e-a9e6-405a8cb0eb93,London,Glasgow,London - Manchester - Glasgow,"LINESTRING (-0.1492160039989738 51.49266760420293, -0.1806672297611529 51.54790579798508, -1.9064407902485785 52.48123799741435, -2.2385786109017514 53.48533544306981, -2.6960650275462497 53.76023611345902, -2.785501311288957 54.010234996738085, -4.250336078037303 55.86520896631765)",3941,UK030
